wmmse_mean	wmmse_ci	wmmse_ci_lower	wmmse_ci_upper	wmmse_local_mean	wmmse_local_ci	wmmse_local_ci_lower	wmmse_local_ci_upper	wmmse_sc_mean	wmmse_sc_ci	wmmse_sc_ci_lower	wmmse_sc_ci_upper	links
3.361212213190985	0.041720014062240365	3.3194921991287445	3.4029322272532254	3.005540929179068	0.04445532380789258	2.961085605371175	3.0499962529869604	3.488725297080813	0.04915918399827346	3.4395661130825395	3.5378844810790864	20
2.732568713463223	0.02941541369164997	2.703153299771573	2.761984127154873	2.4912772121406137	0.03246521648831021	2.4588119956523036	2.523742428628924	2.974396169699223	0.04201874401611227	2.9323774256831108	3.0164149137153355	40
2.46892541378753	0.02583902048373956	2.4430863933037905	2.4947644342712696	2.2594635040191986	0.02483530531292586	2.2346281987062726	2.2842988093321246	2.7233813201566917	0.035781536690520636	2.687599783466171	2.759162856847212	60
2.2400796820765736	0.02466023489892011	2.2154194471776534	2.264739916975494	1.9705487142602964	0.026317994375770412	1.9442307198845261	1.9968667086360667	2.4674500624857116	0.03288129216532329	2.4345687703203884	2.500331354651035	80
2.047769567586944	0.024575220497901257	2.0231943470890426	2.072344788084845	1.8188067790084061	0.023479007823573473	1.7953277711848328	1.8422857868319795	2.3871278658864012	0.033422412969720455	2.3537054529166808	2.4205502788561217	100
1.9582348058622148	0.022114830169175256	1.9361199756930396	1.98034963603139	1.7803749214211078	0.02417105130876941	1.7562038701123384	1.8045459727298772	2.2694206327832998	0.03252607537398108	2.2368945574093186	2.301946708157281	120
1.9111213286561712	0.01855616365076338	1.8925651650054078	1.9296774923069346	1.785281707188732	0.020669013564322748	1.764612693624409	1.8059507207530547	2.2245558432093606	0.028689167605474263	2.1958666756038863	2.253245010814835	140
1.818838848254039	0.01894831940685552	1.7998905288471834	1.8377871676608946	1.7070849318277634	0.02285400578586449	1.684230926041899	1.7299389376136278	1.9741244864308902	0.030386911973242236	1.943737574457648	2.0045113984041323	160
1.7844333335067346	0.01956997436969829	1.7648633591370364	1.8040033078764328	1.654657944351782	0.020906746467038714	1.6337511978847432	1.6755646908188206	1.9768363680172214	0.02927904665449938	1.947557321362722	2.006115414671721	180
1.7440247665744761	0.019951751154587014	1.724073015419889	1.7639765177290632	1.6317676434159916	0.020088519552121587	1.61167912386387	1.6518561629681132	1.900617568968546	0.023305662097880125	1.8773119068706658	1.9239232310664263	200
